case_id,pd,segment,segment_default_rate,Top Risk Drivers,ai_decision,policy_status,next_step,ai_reason
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Reject,Very High Risk,Reject the loan application based on the very high risk associated with the PD.,"The PD of 53.19% falls into the 'Very High Risk' category as it is greater than 30%. According to the bank policy, this level of PD indicates a significant risk, and the decision hierarchy suggests that such cases should be rejected unless there are compelling reasons to approve them, which are not present in this case."
464451,0.2681952753441822,QA,0.1617,"['int_rate', 'avg_cur_bal', 'application_type_Joint App', 'acc_open_past_24mths', 'loan_to_income']",Manual Review,PD is below 30% and below the segment default rate,Conduct a manual review to assess the impact of the top risk drivers on the overall credit risk.,"The PD is 26.82%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk factors (top risk drivers) necessitates a more thorough evaluation."
809706,0.2889793763480894,QA,0.1617,"['int_rate', 'avg_cur_bal', 'term', 'dti', 'acc_open_past_24mths']",Approved with Caution,Manual Review,Proceed with caution and monitor the loan closely.,"The PD is below 30% but above the segment default rate, and there are other risk factors present."
1538286,0.0996373346731912,QA,0.1617,"['int_rate', 'revol_util', 'dti', 'acc_open_past_24mths', 'inq_last_6mths']",Approved with Caution,Manual Review,Proceed with caution and consider additional risk assessments.,"The PD of 9.96% is below 30% but above the segment default rate of 16.17%. Additionally, there are other risk factors present, which necessitates a cautious approach."
822739,0.3662413496593101,Review/Reject,0.3418,"['dti', 'acc_open_past_24mths', 'avg_cur_bal', 'bc_util', 'loan_to_income']",Manual Review,PD ≥ 30%,Conduct a manual review to assess the overall credit risk and determine the appropriate action.,"The PD is 36.62%, which is above the 30% threshold, indicating a higher credit risk. However, the decision requires further evaluation due to the presence of other risk factors and the segment default rate being close to the PD."
549665,0.2295305824028513,QA,0.1617,"['int_rate', 'total_rev_hi_lim', 'loan_to_income', 'acc_open_past_24mths', 'purpose_home_improvement']",Manual Review,PD is below 30% and below the segment default rate,Conduct a manual review to assess the impact of the top risk drivers on the overall credit risk.,"The PD is 22.95%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk factors (top risk drivers) necessitates a more thorough evaluation."
521926,0.0835053374774747,QA,0.1617,"['int_rate', 'avg_cur_bal', 'loan_to_income', 'acc_open_past_24mths', 'mths_since_last_delinq']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Submit for human judgment to assess the overall risk.,"The PD is 8.35%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk drivers indicates that the case may require further evaluation."
383370,0.2303521044068857,QA,0.1617,"['loan_to_income', 'term', 'int_rate', 'avg_cur_bal', 'mths_since_last_delinq']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Conduct a manual review to assess the overall credit risk considering the additional risk factors.,"The PD is 23.04%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk factors indicated, such as loan_to_income and mths_since_last_delinq, which necessitate a more thorough evaluation."
707053,0.1442002900697915,QA,0.1617,"['int_rate', 'application_type_Joint App', 'avg_cur_bal', 'loan_to_income', 'home_ownership_MORTGAGE']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Conduct a manual review to assess the overall risk and make a final decision.,"The PD is 14.42%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk factors indicated, such as high interest rates and joint application type, which necessitate a more thorough evaluation."
1629238,0.3975243304285293,Review/Reject,0.3418,"['int_rate', 'dti', 'revol_util', 'home_ownership_RENT', 'term']",Reject,Very High Risk,Inform the applicant of the rejection and provide justification based on the PD.,"The PD of 39.75% falls into the 'Very High Risk' category as it is greater than or equal to 30%. According to the bank policy, this risk band determines the base decision path and does not override policy limits. Therefore, the loan must be rejected."
